"id","is_oreb","team","opponent","conference","opp_conference"
"14-1",1,"Georgia","Temple","SEC","American Athletic Conference"
"15-1",1,"Duke","Eastern Michigan","ACC","Mid American"
"15-2",0,"Duke","Eastern Michigan","ACC","Mid American"
"15-4",1,"Duke","Eastern Michigan","ACC","Mid American"
"16-1",0,"Indiana","Marquette","BigTen","BigEast"
"16-3",0,"Indiana","Marquette","BigTen","BigEast"
"16-4",0,"Indiana","Marquette","BigTen","BigEast"
"16-5",1,"Indiana","Marquette","BigTen","BigEast"
"16-6",0,"Indiana","Marquette","BigTen","BigEast"
"16-7",0,"Indiana","Marquette","BigTen","BigEast"
"17-1",0,"Nebraska","Seton Hall","BigTen","BigEast"
"17-2",1,"Nebraska","Seton Hall","BigTen","BigEast"
"17-3",1,"Nebraska","Seton Hall","BigTen","BigEast"
"17-6",0,"Nebraska","Seton Hall","BigTen","BigEast"
"17-7",1,"Nebraska","Seton Hall","BigTen","BigEast"
"17-8",1,"Nebraska","Seton Hall","BigTen","BigEast"
"18-3",0,"Saint Joseph's","Wake Forest","Atlantic 10","ACC"
"19-1",1,"Mississippi","Butler","SEC","BigEast"
"20-2",0,"Virginia","Coppin St.","ACC","MEAC"
"20-4",0,"Virginia","Coppin St.","ACC","MEAC"
"21-1",0,"Seton Hall","Saint Louis","BigEast","Atlantic 10"
"22-2",0,"Charleston","Oklahoma St.","Colonial","Big 12"
"22-3",0,"Charleston","Oklahoma St.","Colonial","Big 12"
"23-1",0,"Saint Joseph's","West Virginia","Atlantic 10","Big 12"
"24-1",0,"Iowa St.","Arizona","Big 12","PAC 12"
"24-2",1,"Iowa St.","Arizona","Big 12","PAC 12"
"24-3",0,"Iowa St.","Arizona","Big 12","PAC 12"
"24-4",0,"Iowa St.","Arizona","Big 12","PAC 12"
"24-6",0,"Iowa St.","Arizona","Big 12","PAC 12"
"24-7",1,"Iowa St.","Arizona","Big 12","PAC 12"
"24-8",0,"Iowa St.","Arizona","Big 12","PAC 12"
"24-9",0,"Iowa St.","Arizona","Big 12","PAC 12"
"24-10",0,"Iowa St.","Arizona","Big 12","PAC 12"
"24-11",0,"Iowa St.","Arizona","Big 12","PAC 12"
"25-1",0,"Duke","San Diego St.","ACC","MWC"
"25-2",0,"San Diego St.","Duke","MWC","ACC"
"25-3",1,"Duke","San Diego St.","ACC","MWC"
"26-1",0,"Gonzaga","Illinois","WestCoast","BigTen"
"26-2",0,"Gonzaga","Illinois","WestCoast","BigTen"
"26-3",1,"Gonzaga","Illinois","WestCoast","BigTen"
"27-1",0,"Gonzaga","Arizona","WestCoast","PAC 12"
"27-2",0,"Gonzaga","Arizona","WestCoast","PAC 12"
"27-3",1,"Gonzaga","Arizona","WestCoast","PAC 12"
"27-4",0,"Gonzaga","Arizona","WestCoast","PAC 12"
"27-5",1,"Gonzaga","Arizona","WestCoast","PAC 12"
"27-7",0,"Gonzaga","Arizona","WestCoast","PAC 12"
"27-9",0,"Gonzaga","Arizona","WestCoast","PAC 12"
"27-12",1,"Gonzaga","Arizona","WestCoast","PAC 12"
"27-13",1,"Gonzaga","Arizona","WestCoast","PAC 12"
"27-14",0,"Gonzaga","Arizona","WestCoast","PAC 12"
"28-4",0,"Duke","Auburn","ACC","SEC"
"28-6",0,"Duke","Auburn","ACC","SEC"
"29-1",0,"Iowa St.","Illinois","Big 12","BigTen"
"29-2",0,"Iowa St.","Illinois","Big 12","BigTen"
"29-3",1,"Iowa St.","Illinois","Big 12","BigTen"
"29-4",0,"Iowa St.","Illinois","Big 12","BigTen"
"29-5",1,"Iowa St.","Illinois","Big 12","BigTen"
"30-1",1,"Indiana","UT Arlington","BigTen","SunBelt"
"30-2",1,"Indiana","UT Arlington","BigTen","SunBelt"
"30-3",1,"Indiana","UT Arlington","BigTen","SunBelt"
"30-4",0,"Indiana","UT Arlington","BigTen","SunBelt"
"31-1",0,"Oregon","Green Bay","PAC 12","Horizon"
"31-2",0,"Oregon","Green Bay","PAC 12","Horizon"
"31-3",0,"Oregon","Green Bay","PAC 12","Horizon"
"32-1",0,"San Diego St.","Xavier","MWC","BigEast"
"32-2",0,"San Diego St.","Xavier","MWC","BigEast"
"33-2",0,"Iowa","Alabama St.","BigTen","SWAC"
"34-1",0,"Duke","Gonzaga","ACC","WestCoast"
"34-2",0,"Gonzaga","Duke","WestCoast","ACC"
"34-3",0,"Gonzaga","Duke","WestCoast","ACC"
"34-4",1,"Duke","Gonzaga","ACC","WestCoast"
"34-5",1,"Gonzaga","Duke","WestCoast","ACC"
"35-1",0,"Iowa St.","San Diego St.","Big 12","MWC"
"35-2",0,"Iowa St.","San Diego St.","Big 12","MWC"
"35-3",0,"Iowa St.","San Diego St.","Big 12","MWC"
"35-4",0,"Iowa St.","San Diego St.","Big 12","MWC"
"35-5",0,"San Diego St.","Iowa St.","MWC","Big 12"
"35-6",0,"San Diego St.","Iowa St.","MWC","Big 12"
"35-9",1,"Iowa St.","San Diego St.","Big 12","MWC"
"35-10",1,"Iowa St.","San Diego St.","Big 12","MWC"
"35-11",0,"Iowa St.","San Diego St.","Big 12","MWC"
"35-12",1,"Iowa St.","San Diego St.","Big 12","MWC"
"37-2",1,"Indiana","UC Davis","BigTen","BigWest"
"37-3",0,"Indiana","UC Davis","BigTen","BigWest"
"38-3",0,"Nebraska","Western Illinois","BigTen","Summit League"
"38-5",0,"Nebraska","Western Illinois","BigTen","Summit League"
"39-1",0,"Virginia Tech","St. Francis PA","ACC","NorthEast"
"40-1",1,"Oregon","Texas Southern","PAC 12","SWAC"
"40-3",0,"Oregon","Texas Southern","PAC 12","SWAC"
"40-5",0,"Oregon","Texas Southern","PAC 12","SWAC"
"41-1",0,"Duke","Indiana","ACC","BigTen"
"41-2",1,"Duke","Indiana","ACC","BigTen"
"41-3",0,"Indiana","Duke","BigTen","ACC"
"41-4",0,"Indiana","Duke","BigTen","ACC"
"41-5",0,"Indiana","Duke","BigTen","ACC"
"43-1",0,"SMU","Lamar","American Athletic Conference","SouthLand"
"45-1",0,"Virginia","Maryland","ACC","BigTen"
"46-1",0,"Michigan","North Carolina","BigTen","ACC"
"46-2",0,"North Carolina","Michigan","ACC","BigTen"
"46-3",0,"North Carolina","Michigan","ACC","BigTen"
"46-4",0,"North Carolina","Michigan","ACC","BigTen"
"46-5",0,"Michigan","North Carolina","BigTen","ACC"
"46-6",0,"North Carolina","Michigan","ACC","BigTen"
"46-7",0,"Michigan","North Carolina","BigTen","ACC"
"46-8",1,"North Carolina","Michigan","ACC","BigTen"
"46-9",0,"North Carolina","Michigan","ACC","BigTen"
"47-1",1,"Alabama","UCF","SEC","American Athletic Conference"
"47-2",0,"Alabama","UCF","SEC","American Athletic Conference"
"47-3",1,"Alabama","UCF","SEC","American Athletic Conference"
"48-2",0,"Oregon","Houston","PAC 12","American Athletic Conference"
"48-3",0,"Oregon","Houston","PAC 12","American Athletic Conference"
"49-1",0,"Michigan","Purdue","BigTen","BigTen"
"50-1",0,"Nevada","USC","MWC","PAC 12"
"50-2",0,"Nevada","USC","MWC","PAC 12"
"50-4",0,"Nevada","USC","MWC","PAC 12"
"50-5",0,"Nevada","USC","MWC","PAC 12"
"50-6",0,"Nevada","USC","MWC","PAC 12"
"50-7",0,"Nevada","USC","MWC","PAC 12"
"51-3",0,"Nebraska","Illinois","BigTen","BigTen"
"51-5",0,"Nebraska","Illinois","BigTen","BigTen"
"51-7",0,"Nebraska","Illinois","BigTen","BigTen"
"51-9",1,"Nebraska","Illinois","BigTen","BigTen"
"52-2",1,"UCLA","Loyola Marymount","PAC 12","WestCoast"
"53-1",0,"SMU","Oral Roberts","American Athletic Conference","Summit League"
"53-3",1,"SMU","Oral Roberts","American Athletic Conference","Summit League"
"53-4",0,"SMU","Oral Roberts","American Athletic Conference","Summit League"
"54-1",0,"Washington","UC Santa Barbara","PAC 12","BigWest"
"54-2",1,"Washington","UC Santa Barbara","PAC 12","BigWest"
"56-2",0,"Michigan","Northwestern","BigTen","BigTen"
"56-3",1,"Michigan","Northwestern","BigTen","BigTen"
"58-1",0,"Duke","Hartford","ACC","American East"
"58-3",0,"Duke","Hartford","ACC","American East"
"58-5",0,"Duke","Hartford","ACC","American East"
"58-6",0,"Duke","Hartford","ACC","American East"
"59-1",1,"Nebraska","Minnesota","BigTen","BigTen"
"59-2",0,"Nebraska","Minnesota","BigTen","BigTen"
"59-6",1,"Nebraska","Minnesota","BigTen","BigTen"
"59-7",1,"Nebraska","Minnesota","BigTen","BigTen"
"59-8",0,"Nebraska","Minnesota","BigTen","BigTen"
"59-9",0,"Nebraska","Minnesota","BigTen","BigTen"
"59-10",0,"Nebraska","Minnesota","BigTen","BigTen"
"59-11",0,"Nebraska","Minnesota","BigTen","BigTen"
"60-2",1,"Iowa St.","Iowa","Big 12","BigTen"
"60-3",1,"Iowa St.","Iowa","Big 12","BigTen"
"60-4",0,"Iowa St.","Iowa","Big 12","BigTen"
"60-5",0,"Iowa St.","Iowa","Big 12","BigTen"
"60-6",0,"Iowa St.","Iowa","Big 12","BigTen"
"60-7",1,"Iowa St.","Iowa","Big 12","BigTen"
"60-9",1,"Iowa","Iowa St.","BigTen","Big 12"
"60-10",0,"Iowa St.","Iowa","Big 12","BigTen"
"60-11",0,"Iowa St.","Iowa","Big 12","BigTen"
"61-1",0,"Florida St.","Connecticut","ACC","American Athletic Conference"
"61-4",1,"Florida St.","Connecticut","ACC","American Athletic Conference"
"62-2",0,"Nebraska","Creighton","BigTen","BigEast"
"63-3",0,"Duke","Yale","ACC","Ivy League"
"63-4",0,"Duke","Yale","ACC","Ivy League"
"63-6",0,"Duke","Yale","ACC","Ivy League"
"64-1",0,"Indiana","Louisville","BigTen","ACC"
"64-2",0,"Indiana","Louisville","BigTen","ACC"
"64-3",0,"Indiana","Louisville","BigTen","ACC"
"65-1",0,"Michigan","South Carolina","BigTen","SEC"
"65-2",1,"Michigan","South Carolina","BigTen","SEC"
"66-1",0,"Oregon","Nebraska Omaha","PAC 12","Summit League"
"66-2",0,"Oregon","Nebraska Omaha","PAC 12","Summit League"
"66-3",0,"Oregon","Nebraska Omaha","PAC 12","Summit League"
"66-4",1,"Oregon","Nebraska Omaha","PAC 12","Summit League"
"66-5",0,"Oregon","Nebraska Omaha","PAC 12","Summit League"
"66-6",0,"Oregon","Nebraska Omaha","PAC 12","Summit League"
"66-7",0,"Oregon","Nebraska Omaha","PAC 12","Summit League"
"66-8",1,"Oregon","Nebraska Omaha","PAC 12","Summit League"
"66-9",0,"Oregon","Nebraska Omaha","PAC 12","Summit League"
"68-1",1,"Washington","Seattle","PAC 12","WAC"
"68-2",0,"Washington","Seattle","PAC 12","WAC"
"68-3",0,"Washington","Seattle","PAC 12","WAC"
"69-2",0,"Virginia","VCU","ACC","Atlantic 10"
"69-3",0,"Virginia","VCU","ACC","Atlantic 10"
"69-4",1,"Virginia","VCU","ACC","Atlantic 10"
"69-6",0,"Virginia","VCU","ACC","Atlantic 10"
"69-7",0,"Virginia","VCU","ACC","Atlantic 10"
"70-1",0,"Oregon","San Diego","PAC 12","WestCoast"
"72-1",0,"Oregon","Boise St.","PAC 12","MWC"
"73-1",0,"Indiana","Butler","BigTen","BigEast"
"73-2",0,"Indiana","Butler","BigTen","BigEast"
"73-3",1,"Indiana","Butler","BigTen","BigEast"
"75-1",0,"Michigan","Western Michigan","BigTen","Mid American"
"77-2",0,"Duke","Princeton","ACC","Ivy League"
"77-3",0,"Duke","Princeton","ACC","Ivy League"
"77-4",0,"Duke","Princeton","ACC","Ivy League"
"78-1",1,"Oregon","Florida A&M","PAC 12","MEAC"
"78-2",0,"Oregon","Florida A&M","PAC 12","MEAC"
"78-3",0,"Oregon","Florida A&M","PAC 12","MEAC"
"78-4",1,"Oregon","Florida A&M","PAC 12","MEAC"
"79-1",0,"Iowa","Western Carolina","BigTen","Southern"
"80-1",0,"Indiana","Central Arkansas","BigTen","SouthLand"
"81-1",0,"UCLA","Cincinnati","PAC 12","American Athletic Conference"
"81-3",0,"UCLA","Cincinnati","PAC 12","American Athletic Conference"
"81-4",1,"UCLA","Cincinnati","PAC 12","American Athletic Conference"
"82-3",0,"Duke","Texas Tech","ACC","Big 12"
"82-4",0,"Duke","Texas Tech","ACC","Big 12"
"83-2",0,"Washington","Sacramento St.","PAC 12","BigSky"
"84-1",0,"Michigan","Air Force","BigTen","MWC"
"84-3",0,"Michigan","Air Force","BigTen","MWC"
"85-2",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"85-3",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"85-5",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"85-6",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"85-7",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"85-9",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"85-10",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"85-11",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"85-12",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"85-13",0,"Nebraska","Cal St. Fullerton","BigTen","BigWest"
"87-2",0,"Saint Joseph's","Loyola Chicago","Atlantic 10","MVC"
"88-2",0,"UCLA","Ohio St.","PAC 12","BigTen"
"88-3",0,"UCLA","Ohio St.","PAC 12","BigTen"
"88-5",0,"UCLA","Ohio St.","PAC 12","BigTen"
"89-1",0,"Virginia","William & Mary","ACC","Colonial"
"89-2",0,"Virginia","William & Mary","ACC","Colonial"
"89-4",0,"Virginia","William & Mary","ACC","Colonial"
"90-1",0,"Oregon","Boise St.","PAC 12","MWC"
"90-2",1,"Oregon","Boise St.","PAC 12","MWC"
"90-3",0,"Oregon","Boise St.","PAC 12","MWC"
"90-5",0,"Oregon","Boise St.","PAC 12","MWC"
"91-1",1,"Iowa","Bryant","BigTen","NorthEast"
"91-2",0,"Iowa","Bryant","BigTen","NorthEast"
"92-4",0,"Charleston","UNC Wilmington","Colonial","Colonial"
"93-1",0,"Kentucky","Louisville","SEC","ACC"
"93-3",0,"Kentucky","Louisville","SEC","ACC"
"93-4",0,"Kentucky","Louisville","SEC","ACC"
"93-5",1,"Kentucky","Louisville","SEC","ACC"
"93-7",0,"Kentucky","Louisville","SEC","ACC"
"94-1",0,"UCLA","Liberty","PAC 12","Atlantic Sun"
"94-2",0,"UCLA","Liberty","PAC 12","Atlantic Sun"
"95-1",0,"Nevada","Utah","MWC","PAC 12"
"95-4",0,"Nevada","Utah","MWC","PAC 12"
"95-5",1,"Nevada","Utah","MWC","PAC 12"
"95-6",0,"Nevada","Utah","MWC","PAC 12"
"95-7",1,"Nevada","Utah","MWC","PAC 12"
"95-8",1,"Nevada","Utah","MWC","PAC 12"
"96-1",0,"Saint Joseph's","Wagner","Atlantic 10","NorthEast"
"96-2",0,"Saint Joseph's","Wagner","Atlantic 10","NorthEast"
"97-1",0,"Alabama","Stephen F. Austin","SEC","SouthLand"
"98-1",0,"Michigan","Binghamton","BigTen","American East"
"99-1",0,"Virginia","Marshall","ACC","Conference USA"
"99-2",0,"Virginia","Marshall","ACC","Conference USA"
"99-3",0,"Virginia","Marshall","ACC","Conference USA"
"99-4",1,"Virginia","Marshall","ACC","Conference USA"
"99-5",0,"Virginia","Marshall","ACC","Conference USA"
"99-8",1,"Virginia","Marshall","ACC","Conference USA"
"100-2",1,"Washington","Cal St. Fullerton","PAC 12","BigWest"
"100-3",0,"Washington","Cal St. Fullerton","PAC 12","BigWest"
"100-4",0,"Washington","Cal St. Fullerton","PAC 12","BigWest"
"102-1",0,"SMU","East Carolina","American Athletic Conference","American Athletic Conference"
"103-1",1,"Iowa St.","Oklahoma St.","Big 12","Big 12"
"103-2",1,"Iowa St.","Oklahoma St.","Big 12","Big 12"
"103-4",1,"Iowa St.","Oklahoma St.","Big 12","Big 12"
"103-5",0,"Iowa St.","Oklahoma St.","Big 12","Big 12"
"103-6",0,"Iowa St.","Oklahoma St.","Big 12","Big 12"
"104-1",0,"UCF","Temple","American Athletic Conference","American Athletic Conference"
"105-1",0,"Indiana","Illinois","BigTen","BigTen"
"105-2",0,"Indiana","Illinois","BigTen","BigTen"
"106-1",0,"Iowa","Purdue","BigTen","BigTen"
"106-2",1,"Iowa","Purdue","BigTen","BigTen"
"106-5",0,"Iowa","Purdue","BigTen","BigTen"
"107-1",0,"Michigan","Penn St.","BigTen","BigTen"
"107-2",1,"Michigan","Penn St.","BigTen","BigTen"
"107-3",0,"Michigan","Penn St.","BigTen","BigTen"
"107-4",0,"Michigan","Penn St.","BigTen","BigTen"
"108-1",0,"UCLA","Stanford","PAC 12","PAC 12"
"108-2",0,"UCLA","Stanford","PAC 12","PAC 12"
"108-3",0,"UCLA","Stanford","PAC 12","PAC 12"
"109-1",0,"San Diego St.","Boise St.","MWC","MWC"
"110-1",0,"UCLA","California","PAC 12","PAC 12"
"111-1",0,"Duke","Clemson","ACC","ACC"
"111-2",0,"Duke","Clemson","ACC","ACC"
"111-3",0,"Duke","Clemson","ACC","ACC"
"111-4",1,"Duke","Clemson","ACC","ACC"
"111-6",0,"Duke","Clemson","ACC","ACC"
"111-7",0,"Duke","Clemson","ACC","ACC"
"111-8",0,"Duke","Clemson","ACC","ACC"
"112-2",0,"Virginia","Florida St.","ACC","ACC"
"112-3",0,"Florida St.","Virginia","ACC","ACC"
"112-4",1,"Virginia","Florida St.","ACC","ACC"
"112-5",0,"Virginia","Florida St.","ACC","ACC"
"112-7",0,"Virginia","Florida St.","ACC","ACC"
"112-9",0,"Virginia","Florida St.","ACC","ACC"
"112-10",0,"Virginia","Florida St.","ACC","ACC"
"112-11",0,"Virginia","Florida St.","ACC","ACC"
"114-2",0,"Oregon","Oregon St.","PAC 12","PAC 12"
"114-3",0,"Oregon","Oregon St.","PAC 12","PAC 12"
"114-4",0,"Oregon","Oregon St.","PAC 12","PAC 12"
"114-5",1,"Oregon","Oregon St.","PAC 12","PAC 12"
"114-6",0,"Oregon","Oregon St.","PAC 12","PAC 12"
"115-1",0,"Saint Joseph's","George Washington","Atlantic 10","Atlantic 10"
"115-2",0,"Saint Joseph's","George Washington","Atlantic 10","Atlantic 10"
"115-3",0,"Saint Joseph's","George Washington","Atlantic 10","Atlantic 10"
"115-4",0,"Saint Joseph's","George Washington","Atlantic 10","Atlantic 10"
"116-1",0,"Michigan","Indiana","BigTen","BigTen"
"116-2",0,"Michigan","Indiana","BigTen","BigTen"
"117-1",0,"Nebraska","Iowa","BigTen","BigTen"
"117-2",0,"Nebraska","Iowa","BigTen","BigTen"
"117-3",0,"Nebraska","Iowa","BigTen","BigTen"
"117-4",1,"Iowa","Nebraska","BigTen","BigTen"
"117-5",0,"Nebraska","Iowa","BigTen","BigTen"
"117-6",1,"Nebraska","Iowa","BigTen","BigTen"
"117-9",0,"Nebraska","Iowa","BigTen","BigTen"
"118-1",1,"Louisville","Miami FL","ACC","ACC"
"119-2",0,"Duke","Wake Forest","ACC","ACC"
"119-3",0,"Duke","Wake Forest","ACC","ACC"
"119-4",0,"Duke","Wake Forest","ACC","ACC"
"119-5",0,"Duke","Wake Forest","ACC","ACC"
"120-1",1,"Texas","Oklahoma St.","Big 12","Big 12"
"121-1",0,"Butler","Seton Hall","BigEast","BigEast"
"122-1",0,"SMU","Connecticut","American Athletic Conference","American Athletic Conference"
"122-2",1,"SMU","Connecticut","American Athletic Conference","American Athletic Conference"
"123-1",0,"Michigan","Illinois","BigTen","BigTen"
"123-2",0,"Michigan","Illinois","BigTen","BigTen"
"124-1",0,"Nebraska","Penn St.","BigTen","BigTen"
"124-3",0,"Nebraska","Penn St.","BigTen","BigTen"
"125-1",0,"UCLA","Oregon","PAC 12","PAC 12"
"125-4",0,"UCLA","Oregon","PAC 12","PAC 12"
"125-5",1,"Oregon","UCLA","PAC 12","PAC 12"
"125-6",1,"UCLA","Oregon","PAC 12","PAC 12"
"125-8",1,"UCLA","Oregon","PAC 12","PAC 12"
"127-1",0,"Indiana","Maryland","BigTen","BigTen"
"127-2",0,"Indiana","Maryland","BigTen","BigTen"
"128-1",0,"Arizona St.","Stanford","PAC 12","PAC 12"
"128-2",0,"Arizona St.","Stanford","PAC 12","PAC 12"
"128-3",0,"Arizona St.","Stanford","PAC 12","PAC 12"
"129-1",0,"Washington","Colorado","PAC 12","PAC 12"
"131-3",0,"SMU","Tulsa","American Athletic Conference","American Athletic Conference"
"131-4",1,"SMU","Tulsa","American Athletic Conference","American Athletic Conference"
"131-5",0,"SMU","Tulsa","American Athletic Conference","American Athletic Conference"
"132-1",0,"Michigan","Northwestern","BigTen","BigTen"
"133-3",0,"Oregon","USC","PAC 12","PAC 12"
"133-4",0,"Oregon","USC","PAC 12","PAC 12"
"134-1",0,"UCLA","Oregon St.","PAC 12","PAC 12"
"134-2",0,"UCLA","Oregon St.","PAC 12","PAC 12"
"135-1",0,"Syracuse","Duke","ACC","ACC"
"135-2",0,"Syracuse","Duke","ACC","ACC"
"135-3",0,"Syracuse","Duke","ACC","ACC"
"135-5",1,"Duke","Syracuse","ACC","ACC"
"135-6",0,"Syracuse","Duke","ACC","ACC"
"135-7",0,"Syracuse","Duke","ACC","ACC"
"135-8",0,"Syracuse","Duke","ACC","ACC"
"136-1",0,"Nebraska","Indiana","BigTen","BigTen"
"136-2",1,"Indiana","Nebraska","BigTen","BigTen"
"136-3",0,"Nebraska","Indiana","BigTen","BigTen"
"136-4",0,"Nebraska","Indiana","BigTen","BigTen"
"136-5",1,"Nebraska","Indiana","BigTen","BigTen"
"137-1",0,"Nevada","Boise St.","MWC","MWC"
"137-2",0,"Nevada","Boise St.","MWC","MWC"
"138-2",0,"Saint Joseph's","Davidson","Atlantic 10","Atlantic 10"
"138-3",0,"Saint Joseph's","Davidson","Atlantic 10","Atlantic 10"
"138-4",1,"Saint Joseph's","Davidson","Atlantic 10","Atlantic 10"
"138-5",0,"Saint Joseph's","Davidson","Atlantic 10","Atlantic 10"
"138-6",1,"Saint Joseph's","Davidson","Atlantic 10","Atlantic 10"
"139-1",1,"Virginia","Virginia Tech","ACC","ACC"
"139-2",1,"Virginia","Virginia Tech","ACC","ACC"
"139-3",1,"Virginia Tech","Virginia","ACC","ACC"
"139-4",1,"Virginia","Virginia Tech","ACC","ACC"
"139-5",0,"Virginia","Virginia Tech","ACC","ACC"
"139-6",0,"Virginia Tech","Virginia","ACC","ACC"
"139-7",1,"Virginia","Virginia Tech","ACC","ACC"
"139-8",0,"Virginia","Virginia Tech","ACC","ACC"
"139-9",0,"Virginia Tech","Virginia","ACC","ACC"
"140-3",0,"Nebraska","Michigan St.","BigTen","BigTen"
"140-4",0,"Nebraska","Michigan St.","BigTen","BigTen"
"140-5",0,"Nebraska","Michigan St.","BigTen","BigTen"
"142-1",0,"Charleston","Hofstra","Colonial","Colonial"
"142-2",1,"Charleston","Hofstra","Colonial","Colonial"
"142-3",1,"Charleston","Hofstra","Colonial","Colonial"
"142-4",1,"Charleston","Hofstra","Colonial","Colonial"
"142-5",0,"Charleston","Hofstra","Colonial","Colonial"
"143-1",0,"Virginia","Duke","ACC","ACC"
"143-2",0,"Duke","Virginia","ACC","ACC"
"143-3",1,"Duke","Virginia","ACC","ACC"
"143-6",0,"Duke","Virginia","ACC","ACC"
"143-7",0,"Virginia","Duke","ACC","ACC"
"143-8",0,"Virginia","Duke","ACC","ACC"
"143-10",0,"Duke","Virginia","ACC","ACC"
"143-12",1,"Virginia","Duke","ACC","ACC"
"143-13",0,"Virginia","Duke","ACC","ACC"
"143-14",0,"Virginia","Duke","ACC","ACC"
"143-15",0,"Virginia","Duke","ACC","ACC"
"143-16",0,"Duke","Virginia","ACC","ACC"
"144-2",0,"Gonzaga","Portland","WestCoast","WestCoast"
"144-3",0,"Gonzaga","Portland","WestCoast","WestCoast"
"144-4",1,"Gonzaga","Portland","WestCoast","WestCoast"
"147-1",0,"Maryland","Michigan St.","BigTen","BigTen"
"148-1",0,"Nebraska","Rutgers","BigTen","BigTen"
"148-3",0,"Nebraska","Rutgers","BigTen","BigTen"
"148-4",0,"Nebraska","Rutgers","BigTen","BigTen"
"148-5",0,"Nebraska","Rutgers","BigTen","BigTen"
"148-6",0,"Nebraska","Rutgers","BigTen","BigTen"
"148-7",1,"Nebraska","Rutgers","BigTen","BigTen"
"148-8",0,"Nebraska","Rutgers","BigTen","BigTen"
"149-2",1,"Indiana","Northwestern","BigTen","BigTen"
"150-2",0,"Michigan","Minnesota","BigTen","BigTen"
"150-4",1,"Michigan","Minnesota","BigTen","BigTen"
"151-1",0,"Virginia","Wake Forest","ACC","ACC"
"151-2",0,"Virginia","Wake Forest","ACC","ACC"
"152-2",0,"UCLA","Arizona St.","PAC 12","PAC 12"
"152-3",1,"UCLA","Arizona St.","PAC 12","PAC 12"
"153-1",0,"Oregon","Washington","PAC 12","PAC 12"
"153-3",0,"Oregon","Washington","PAC 12","PAC 12"
"153-4",0,"Washington","Oregon","PAC 12","PAC 12"
"153-5",1,"Oregon","Washington","PAC 12","PAC 12"
"154-3",0,"Michigan","Indiana","BigTen","BigTen"
"154-4",0,"Indiana","Michigan","BigTen","BigTen"
